8,0.142857,0.0204082,8.34339e-06
16,0.0666667,0.00444444,1.86553e-06
32,0.0322581,0.00104058,4.36983e-07
64,0.015873,0.000251953,1.05791e-07
128,0.00787402,6.20001e-05,2.60317e-08

256,0.00392157,0.00392157,5.9274e-08
256,0.00392157,0.00392157,0.00719637
256,0.00392157,0.00392157,4.89687e-06
4,0.333333,0.333333,0.0743473
4,0.333333,0.333333,0.0743473
4,0.333333,0.333333,0.0743473
4,0.333333,0.333333,0.0743473
4,0.333333,0.333333,0.0743473
4,0.333333,0.333333,0.0743473
4,0.333333,0.333333,0.0743473
8,0.142857,0.142857,0.0111879
4,0.333333,0.333333,0.0743473
256,0.00392157,0.00392157,4.89687e-06
32,0.0322581,0.0322581,0.000328435
32,0.0322581,0.0322581,0.000328435
32,0.0322581,0.0322581,0.000328435
32,0.0322581,0.0322581,0.000328435
32,0.0322581,0.0322581,0.000328435
32,0.0322581,0.0322581,0.000328435
32,0.0322581,0.0322581,0.000328435
32,0.0322581,0.0322581,0.000328435
